genome,completeness,contamination,length,N50
EHA03781_bin.701.fa.gz,82.03,2.52,2127780,41831
EHA00668_bin.7.fa.gz,84.73,3.005,3960608,8016
EHA02919_bin.167.fa.gz,99.13,2.12,1562883,14097
EHA00656_bin.12.fa.gz,82.07,0.406,2752052,4612
EHA03451_bin.7.fa.gz,94.39,0.61,1712905,19977
EHA03781_bin.95.fa.gz,66.13,4.48,1685209,5196
EHA03781_bin.234.fa.gz,89.3,0.29,2655332,9091
EHA00657_bin.11.fa.gz,95.16,0.0,2050227,201443
EHA03694_bin.155.fa.gz,90.05,5.07,4284171,9896
EHA01404_bin.74.fa.gz,79.47,2.163,2195904,3894
EHA03755_bin.368.fa.gz,68.31,2.73,1988037,4239
EHA03409_bin.30.fa.gz,69.28,0.79,2035794,3568
EHA03412_bin.9.fa.gz,51.8,6.68,2778920,3447
EHA01432_bin.72.fa.gz,95.21,0.287,4067773,30240
EHA00728_bin.1.fa.gz,69.42,0.806,744823,9173
EHA03423_bin.41.fa.gz,56.29,2.47,2600314,61155
EHA03597_bin.10.fa.gz,96.81,0.0,1845601,65988
EHA01421_bin.59.fa.gz,98.92,0.0,2060314,89980
EHA03436_bin.6.fa.gz,58.65,7.77,1915527,67689
EHA03584_bin.31.fa.gz,99.67,2.27,4878240,30684
EHA03694_bin.306.fa.gz,85.22,2.04,833386,5564
EHA00671_bin.4.fa.gz,59.01,3.184,3342960,5866
EHA03781_bin.163.fa.gz,87.5,0.41,3705203,84699
EHA03755_bin.85.fa.gz,98.8,1.18,3159247,84586
EHA03586_bin.14.fa.gz,91.15,0.37,3417662,20429
EHA03694_bin.1.fa.gz,87.18,1.28,3293249,89407
EHA01447_bin.84.fa.gz,76.18,1.512,2997147,5457
EHA01432_bin.144.fa.gz,100.0,0.0,2750019,61162
EHA01409_bin.38.fa.gz,100.0,0.146,3693534,18923
EHA00687_bin.15.fa.gz,97.98,0.671,2895932,43936
EHA03597_bin.19.fa.gz,52.66,2.28,2069399,4162
EHA03781_bin.499.fa.gz,95.96,0.12,1966889,5811
EHA03651_bin.337.fa.gz,82.61,0.44,2069049,5836
EHA03424_bin.28.fa.gz,50.6,0.63,3423147,70524
EHA00563_bin.33.fa.gz,93.54,0.429,1905201,196331
EHA01432_bin.74.fa.gz,51.22,0.0,870344,5016
EHA03781_bin.524.fa.gz,97.52,0.0,1647815,4842
EHA03694_bin.425.fa.gz,96.37,0.48,2078247,6204
EHA01439_bin.49.fa.gz,82.75,0.0,7150779,85955
EHA03419_bin.35.fa.gz,64.4,5.84,1605872,6979
EHA03651_bin.63.fa.gz,88.53,2.12,3012174,6222
EHA03450_bin.29.fa.gz,96.12,0.59,3754211,42523
EHA03393_bin.16.fa.gz,99.66,0.01,4140341,56193
EHA00717_bin.33.fa.gz,53.6,0.0,1713505,2939
EHA03694_bin.285.fa.gz,65.9,1.1,2189811,4634
EHA03437_bin.6.fa.gz,97.53,1.1,1827271,3213
EHA03450_bin.34.fa.gz,98.11,4.77,2363347,12296
EHA01432_bin.92.fa.gz,72.41,2.41,1348105,7134
EHA03651_bin.164.fa.gz,97.41,0.75,2754738,74739
EHA00681_bin.20.fa.gz,50.85,0.671,2106399,2692
EHA03755_bin.15.fa.gz,93.46,1.34,2296997,11140
EHA03405_bin.7.fa.gz,98.86,0.97,3563594,19510
EHA03439_bin.8.fa.gz,99.41,1.56,3027540,89424
EHA01432_bin.70.fa.gz,72.09,2.298,1703142,4541
EHA03694_bin.299.fa.gz,99.3,0.19,2323898,52723
EHA03781_bin.278.fa.gz,83.75,0.16,2163722,15976
EHA03755_bin.250.fa.gz,70.35,1.6,2294174,10025
EHA03651_bin.19.fa.gz,81.55,0.65,3306421,12714
EHA03386_bin.20.fa.gz,99.53,0.26,2442274,33592
EHA03755_bin.264.fa.gz,94.16,1.53,1688037,8929
EHA00669_bin.8.fa.gz,94.08,0.146,4415544,20681
EHA03387_bin.34.fa.gz,93.5,0.0,3487006,15244
EHA03376_bin.7.fa.gz,95.27,0.17,2579876,11839
EHA03694_bin.411.fa.gz,87.63,1.52,3380847,16296
EHA03423_bin.9.fa.gz,90.81,0.99,2686112,10532
EHA00725_bin.10.fa.gz,99.33,0.704,1777521,69990
EHA02919_bin.142.fa.gz,86.44,1.5,1708783,4334
EHA03651_bin.452.fa.gz,67.77,1.85,1736327,4366
EHA03755_bin.41.fa.gz,99.76,0.56,4875759,24788
EHA03781_bin.532.fa.gz,76.78,1.86,1484908,30593
EHA03431_bin.40.fa.gz,68.03,2.46,2189207,3658
EHA03694_bin.43.fa.gz,72.19,0.74,2702349,3901
EHA01415_bin.91.fa.gz,83.78,1.257,3031932,5607
EHA03781_bin.25.fa.gz,66.88,3.17,2004240,2392
EHA03385_bin.44.fa.gz,79.44,8.55,3359901,7742
EHA00563_bin.51.fa.gz,95.97,0.862,4396694,30601
EHA03403_bin.23.fa.gz,58.14,3.12,1262728,2912
EHA00648_bin.5.fa.gz,71.19,3.152,2921225,3386
EHA03781_bin.121.fa.gz,58.61,1.81,1951010,3436
EHA03585_bin.8.fa.gz,99.04,1.51,1687671,18718
EHA03781_bin.136.fa.gz,99.99,0.0,2595528,42823
EHA01421_bin.53.fa.gz,98.92,0.0,1755528,70422
EHA00717_bin.6.fa.gz,93.11,0.268,1252719,25055
EHA01825_bin.1.fa.gz,99.75,0.58,1109534,112890
EHA03402_bin.5.fa.gz,97.86,0.61,5062226,121854
EHA01439_bin.3.fa.gz,82.43,2.419,1605101,6189
EHA03781_bin.545.fa.gz,89.3,2.44,1308136,5989
EHA03781_bin.152.fa.gz,96.99,0.22,3134081,13227
EHA01443_bin.59.fa.gz,55.2,6.978,2528304,2526
EHA03755_bin.277.fa.gz,66.42,0.49,1804021,4907
EHA00726_bin.35.fa.gz,92.82,0.316,2342778,17832
EHA02919_bin.239.fa.gz,79.38,1.86,2543022,3608
EHA00564_bin.21.fa.gz,78.32,2.004,5219611,6582
EHA00670_bin.3.fa.gz,94.63,0.468,1953059,148862
EHA03396_bin.14.fa.gz,91.49,2.04,1796555,17325
EHA01443_bin.40.fa.gz,92.27,0.85,3534567,37423
EHA00681_bin.2.fa.gz,98.25,1.29,3191423,83739
EHA03651_bin.299.fa.gz,67.75,2.73,2545359,3759
EHA03403_bin.43.fa.gz,52.04,8.52,4783898,4865
EHA03694_bin.472.fa.gz,85.18,2.45,3059260,26149
EHA00717_bin.1.fa.gz,98.69,0.0,1587898,238260
EHA03755_bin.295.fa.gz,94.31,0.75,3028718,9348
EHA03598_bin.15.fa.gz,97.03,0.37,2135764,50780
EHA03420_bin.32.fa.gz,58.19,8.51,2569681,2654
EHA01404_bin.6.fa.gz,71.16,8.797,1465577,10431
EHA03781_bin.636.fa.gz,63.39,5.19,1557980,2516
EHA03755_bin.214.fa.gz,81.66,3.27,2784749,9242
EHA03694_bin.396.fa.gz,99.81,0.0,3467600,67565
EHA03420_bin.3.fa.gz,71.12,0.09,1433500,3341
EHA00727_bin.8.fa.gz,99.89,0.12,3936832,197526
EHA00725_bin.17.fa.gz,65.53,1.342,1502068,3833
EHA03781_bin.559.fa.gz,98.65,2.96,1968752,15106
EHA00650_bin.2.fa.gz,71.67,1.14,1584099,9736
EHA00564_bin.11.fa.gz,56.62,3.081,1795189,3226
EHA03415_bin.31.fa.gz,94.73,0.0,2074933,276270
EHA00681_bin.12.fa.gz,61.36,2.586,2109404,5395
EHA00659_bin.2.fa.gz,78.37,0.0,2409163,9407
EHA01443_bin.109.fa.gz,98.65,0.335,2179958,136350
EHA03781_bin.348.fa.gz,90.91,1.9,2682634,5350
EHA03416_bin.27.fa.gz,90.77,0.71,5357890,25638
EHA03388_bin.29.fa.gz,56.27,6.45,1966236,2542
EHA03427_bin.16.fa.gz,88.32,1.21,3330218,26764
EHA03781_bin.169.fa.gz,88.47,0.22,1946312,21138
EHA01439_bin.30.fa.gz,96.69,1.886,3048244,12636
EHA03694_bin.361.fa.gz,89.44,0.12,1532452,17447
EHA03445_bin.11.fa.gz,99.43,0.28,3341226,88045
EHA03441_bin.5.fa.gz,54.99,1.08,1159944,2819
EHA03400_bin.2.fa.gz,57.91,0.91,2039362,3553
EHA03443_bin.21.fa.gz,94.21,0.07,2607077,9120
EHA00564_bin.37.fa.gz,67.89,5.964,2651514,4035
EHA03694_bin.185.fa.gz,99.25,0.14,3013604,11962
EHA03418_bin.18.fa.gz,64.58,3.53,4811108,13350
EHA03423_bin.26.fa.gz,88.65,0.79,2860131,5750
EHA03373_bin.34.fa.gz,93.44,0.33,3216235,95758
EHA03406_bin.11.fa.gz,76.54,1.84,788734,3413
EHA03651_bin.247.fa.gz,87.34,3.26,2292191,20911
EHA01443_bin.111.fa.gz,97.98,2.013,3154620,57640
EHA03421_bin.18.fa.gz,83.98,0.42,1963720,57603
EHA01404_bin.30.fa.gz,97.42,1.476,3952880,17108
EHA03411_bin.30.fa.gz,60.47,6.83,1607847,11413
EHA00563_bin.4.fa.gz,92.87,0.0,2608227,56644
EHA03755_bin.168.fa.gz,64.7,1.64,929974,4881
EHA03408_bin.3.fa.gz,98.92,1.31,5241271,90548
EHA00647_bin.7.fa.gz,77.29,0.769,5048348,7955
EHA03422_bin.2.fa.gz,88.02,0.25,2838348,8551
EHA03414_bin.29.fa.gz,99.74,0.13,4623034,75179
EHA03781_bin.363.fa.gz,92.81,0.09,2099982,33464
EHA03395_bin.7.fa.gz,98.96,0.28,1646751,3120
EHA00677_bin.1.fa.gz,79.99,2.404,2168717,4205
EHA00685_bin.7.fa.gz,98.05,0.256,4040807,135021
EHA03443_bin.10.fa.gz,85.8,1.43,2408675,6759
EHA03447_bin.36.fa.gz,97.99,0.49,1903459,155344
EHA03423_bin.7.fa.gz,91.4,2.26,5058679,26067
EHA03694_bin.237.fa.gz,95.93,1.55,2765220,17589
EHA03651_bin.394.fa.gz,51.09,2.84,1191864,3061
EHA03435_bin.38.fa.gz,88.89,2.11,3556319,105392
EHA01404_bin.95.fa.gz,73.13,0.862,1643486,3881
EHA00655_bin.7.fa.gz,98.27,0.574,4081122,208792
EHA03651_bin.126.fa.gz,54.05,0.05,1544120,4001
EHA03755_bin.37.fa.gz,54.89,0.99,2189447,4167
EHA00687_bin.22.fa.gz,65.12,1.129,2548599,3172
EHA03781_bin.757.fa.gz,92.33,2.6,1393247,2500
EHA01415_bin.19.fa.gz,56.69,7.389,2162810,2363
EHA03390_bin.29.fa.gz,57.55,9.77,3589125,2838
EHA02915_bin.34.fa.gz,99.63,0.75,3579824,53533
EHA03651_bin.248.fa.gz,95.17,0.51,1547933,4741
EHA03694_bin.218.fa.gz,64.45,7.96,1675645,4354
EHA03589_bin.9.fa.gz,54.39,7.45,2729294,10798
EHA01826_bin.24.fa.gz,94.99,0.05,1719870,11608
EHA03584_bin.19.fa.gz,99.75,1.5,4567906,99665
EHA03373_bin.32.fa.gz,99.97,0.48,2413969,152066
EHA03694_bin.334.fa.gz,95.62,0.02,3082296,34189
EHA03373_bin.23.fa.gz,99.94,0.0,3743857,100481
EHA03441_bin.14.fa.gz,59.3,4.01,3117419,2859
EHA01409_bin.56.fa.gz,66.3,6.896,4262612,14521
EHA03694_bin.119.fa.gz,86.9,3.1,3473986,9685
EHA03448_bin.18.fa.gz,79.49,0.0,4679644,22610
EHA03651_bin.110.fa.gz,93.86,3.75,4916372,14582
EHA03431_bin.5.fa.gz,99.7,0.01,3287815,186089
EHA03388_bin.16.fa.gz,67.42,1.19,1940811,6848
EHA03651_bin.443.fa.gz,70.01,2.94,2736026,38871
EHA00645_bin.14.fa.gz,98.66,0.0,1595313,231555
EHA03781_bin.432.fa.gz,94.84,0.36,2067450,13554
EHA03694_bin.563.fa.gz,57.3,2.26,658232,2995
EHA03597_bin.21.fa.gz,86.09,1.33,1848383,9035
EHA03755_bin.270.fa.gz,81.27,3.57,2367827,7458
EHA01404_bin.77.fa.gz,92.39,0.292,3530860,57609
EHA00685_bin.30.fa.gz,94.35,0.186,2001474,29663
EHA03755_bin.305.fa.gz,79.28,2.25,2917389,5882
EHA00669_bin.21.fa.gz,98.65,0.894,4436192,501866
EHA01426_bin.39.fa.gz,59.51,1.205,2046254,3454
EHA00656_bin.3.fa.gz,98.65,1.769,3733601,66017
EHA01443_bin.139.fa.gz,51.12,6.896,4686557,9098
EHA03694_bin.576.fa.gz,54.3,0.49,1546576,4800
EHA01447_bin.53.fa.gz,99.94,0.0,1692672,93569
EHA03390_bin.18.fa.gz,76.51,2.94,3404763,6136
EHA03694_bin.453.fa.gz,95.71,2.7,3244023,9802
EHA02919_bin.39.fa.gz,99.7,0.04,1537162,56602
EHA03781_bin.370.fa.gz,86.76,3.06,1968415,52319
EHA03694_bin.414.fa.gz,94.73,3.18,3125745,28118
EHA01409_bin.32.fa.gz,91.53,2.042,1052106,40782
EHA03755_bin.62.fa.gz,99.04,2.84,2403304,31030
EHA03389_bin.10.fa.gz,98.47,0.05,841771,533991
EHA03781_bin.430.fa.gz,98.31,0.57,2746207,36122
EHA03781_bin.722.fa.gz,98.48,0.04,3770430,7366
EHA03755_bin.40.fa.gz,96.97,3.35,2936235,28151
EHA03651_bin.47.fa.gz,96.16,0.77,2340132,2556
EHA00682_bin.1.fa.gz,99.61,0.192,4411136,85863
EHA03651_bin.402.fa.gz,90.42,1.01,2794072,4711
EHA01436_bin.1.fa.gz,81.36,3.91,2836485,4006
EHA00565_bin.13.fa.gz,79.16,5.188,3789048,13859
EHA03755_bin.195.fa.gz,66.16,2.1,1570596,4534
EHA01426_bin.21.fa.gz,85.41,5.286,4133999,6465
EHA03453_bin.29.fa.gz,84.94,0.27,2057542,30195
EHA01421_bin.70.fa.gz,86.49,1.647,4925912,13569
EHA00718_bin.1.fa.gz,57.16,1.436,1600312,6148
EHA00717_bin.24.fa.gz,90.01,0.865,4370327,22943
EHA03755_bin.387.fa.gz,91.13,2.63,1717700,10702
EHA03694_bin.318.fa.gz,89.71,0.88,3067470,25685
EHA03393_bin.10.fa.gz,98.68,0.29,4232582,111414
EHA00681_bin.14.fa.gz,100.0,0.939,940707,255390
EHA01432_bin.16.fa.gz,89.93,0.999,2071113,8820
EHA03453_bin.9.fa.gz,63.16,0.01,1388816,2939
EHA00655_bin.12.fa.gz,63.77,0.167,1413279,2640
EHA03781_bin.716.fa.gz,98.51,0.03,1846208,126753
EHA03597_bin.9.fa.gz,99.04,4.07,4433610,53047
EHA03694_bin.278.fa.gz,86.37,2.61,2033003,5419
EHA02915_bin.128.fa.gz,53.2,7.02,1320820,2149
EHA02915_bin.27.fa.gz,95.96,0.15,1406261,144602
EHA03781_bin.608.fa.gz,92.16,2.0,1764779,163639
EHA01415_bin.26.fa.gz,96.35,0.551,4944620,30001
EHA02919_bin.98.fa.gz,55.84,0.59,2319917,2445
EHA03694_bin.159.fa.gz,84.51,3.29,2297210,8564
EHA01402_bin.20.fa.gz,57.93,3.793,4117757,12821
EHA03755_bin.88.fa.gz,92.58,3.88,3059281,56944
EHA03434_bin.14.fa.gz,50.35,1.11,1642288,4179
EHA00679_bin.10.fa.gz,96.83,2.315,4096940,11350
EHA00727_bin.10.fa.gz,100.0,0.107,903597,84302
EHA03755_bin.318.fa.gz,84.16,0.02,3757769,19814
EHA03755_bin.216.fa.gz,83.39,0.02,3149499,37406
EHA03781_bin.699.fa.gz,96.9,0.18,1271965,58526
EHA03781_bin.375.fa.gz,92.25,0.17,2794828,15626
EHA00727_bin.11.fa.gz,58.32,0.821,839058,2868
EHA02915_bin.44.fa.gz,87.44,0.02,3953514,18346
EHA03781_bin.6.fa.gz,97.76,0.08,2875716,50049
EHA00719_bin.14.fa.gz,97.17,0.564,3665857,197310
EHA03432_bin.14.fa.gz,99.89,0.02,3837014,371398
EHA03781_bin.345.fa.gz,82.69,0.29,2546481,3292
EHA03423_bin.49.fa.gz,76.55,6.45,4265398,78946
EHA03694_bin.66.fa.gz,51.44,6.3,2733916,4747
EHA03384_bin.45.fa.gz,64.86,2.91,4311416,82962
EHA03406_bin.5.fa.gz,99.18,1.95,5875732,106105
EHA02915_bin.97.fa.gz,91.16,2.38,1176533,6088
EHA00687_bin.3.fa.gz,52.05,1.862,1907880,3421
EHA03598_bin.40.fa.gz,84.67,6.36,2177345,4693
EHA00665_bin.7.fa.gz,76.9,4.185,1501443,4159
EHA03781_bin.107.fa.gz,91.61,1.58,3352569,65352
EHA03651_bin.237.fa.gz,81.52,1.7,2833513,5782
EHA00563_bin.32.fa.gz,86.63,0.0,2430197,96918
EHA03585_bin.12.fa.gz,95.9,0.01,2119082,161312
EHA01426_bin.78.fa.gz,100.0,0.0,957250,220991
EHA03437_bin.32.fa.gz,79.93,0.46,3158339,7567
EHA03781_bin.537.fa.gz,100.0,1.51,1890938,41734
EHA00722_bin.34.fa.gz,77.99,2.24,4382975,53931
EHA00722_bin.22.fa.gz,68.2,2.188,2022302,3465
EHA03431_bin.36.fa.gz,93.38,0.65,1493864,12308
EHA03447_bin.15.fa.gz,81.75,1.98,1572533,4165
EHA03694_bin.636.fa.gz,85.09,1.52,3299527,10996
EHA03414_bin.19.fa.gz,98.44,0.27,4364081,97535
EHA03781_bin.223.fa.gz,99.33,0.35,784770,5913
EHA03651_bin.436.fa.gz,71.8,1.44,1449655,6456
EHA03781_bin.161.fa.gz,98.21,0.0,3595086,7786
EHA03694_bin.471.fa.gz,93.37,2.23,2857962,23421
EHA02915_bin.121.fa.gz,97.32,0.33,2956238,73424
EHA00643_bin.19.fa.gz,98.5,1.923,5258777,59974
EHA03781_bin.18.fa.gz,70.38,3.29,1887418,5036
EHA03755_bin.328.fa.gz,100.0,5.21,2096707,10710
EHA03651_bin.25.fa.gz,99.2,0.52,2813160,7238
EHA03781_bin.744.fa.gz,85.54,0.79,926417,73958
EHA03781_bin.516.fa.gz,99.17,3.36,2344832,4246
EHA03694_bin.193.fa.gz,96.41,0.09,1109959,8685
EHA03694_bin.583.fa.gz,73.0,8.23,3795085,5085
EHA00726_bin.12.fa.gz,78.43,3.266,4204856,11388
EHA02869_bin.125.fa.gz,86.76,0.21,2690890,17842
EHA03781_bin.721.fa.gz,97.2,0.06,4029002,66639
EHA03651_bin.450.fa.gz,95.34,2.85,2625121,4618
EHA00722_bin.2.fa.gz,73.51,2.074,1340267,4353
EHA02869_bin.12.fa.gz,80.61,0.8,5538763,13257
EHA02919_bin.222.fa.gz,80.27,2.32,2158457,33697
EHA03425_bin.36.fa.gz,56.2,9.17,1951051,2944
EHA03781_bin.312.fa.gz,98.72,3.57,1583035,16625
EHA02869_bin.11.fa.gz,97.37,0.0,1892574,89700
EHA03407_bin.10.fa.gz,77.77,0.51,2865322,6485
EHA02919_bin.18.fa.gz,50.64,0.54,1701206,2687
EHA00724_bin.11.fa.gz,94.11,0.653,3431381,34077
EHA03373_bin.7.fa.gz,83.29,1.37,5239907,116384
EHA02919_bin.255.fa.gz,75.14,2.71,1309469,2321
EHA00680_bin.8.fa.gz,99.36,0.21,3446543,116619
EHA02869_bin.70.fa.gz,99.51,0.03,3581729,149765
EHA03599_bin.31.fa.gz,99.79,1.29,3844204,64339
EHA01432_bin.140.fa.gz,54.5,0.026,3246900,4597
EHA00722_bin.4.fa.gz,91.2,0.0,1305611,59259
EHA01436_bin.42.fa.gz,92.11,1.118,2070522,7049
EHA03596_bin.5.fa.gz,79.02,2.55,1401250,4564
EHA03781_bin.343.fa.gz,76.25,3.37,2634072,3201
EHA03651_bin.69.fa.gz,99.97,0.17,3996979,11492
EHA01426_bin.74.fa.gz,92.47,0.097,1696275,5787
EHA03781_bin.120.fa.gz,92.79,6.24,3096516,6725
EHA03445_bin.33.fa.gz,93.62,0.12,4902019,46917
EHA01432_bin.94.fa.gz,60.68,7.758,5191582,11067
EHA03781_bin.557.fa.gz,82.78,5.31,3104680,4217
EHA03781_bin.90.fa.gz,100.0,0.99,1445276,15013
EHA01402_bin.33.fa.gz,61.39,0.153,2429607,3944
EHA03755_bin.340.fa.gz,97.84,1.78,3767265,33090
EHA03376_bin.13.fa.gz,80.92,1.17,2244301,5159
EHA01432_bin.2.fa.gz,95.54,0.338,4242184,43939
EHA03380_bin.23.fa.gz,99.43,0.71,2806284,41549
EHA03445_bin.3.fa.gz,99.42,0.76,4467448,14205
EHA00660_bin.19.fa.gz,85.64,0.637,2168403,27999
EHA03412_bin.11.fa.gz,94.67,0.0,2366053,170608
EHA03409_bin.18.fa.gz,57.04,5.33,2035527,2475
EHA00667_bin.18.fa.gz,99.43,0.293,3733167,117343
EHA03651_bin.487.fa.gz,83.05,2.82,1188144,4686
EHA02919_bin.61.fa.gz,63.48,3.96,1195011,2699
EHA03651_bin.368.fa.gz,52.54,0.45,1073618,2741
EHA03380_bin.26.fa.gz,84.36,0.42,3747702,54518
EHA00717_bin.47.fa.gz,66.71,1.654,1528003,21796
EHA03398_bin.9.fa.gz,92.55,0.21,3597765,14504
EHA03408_bin.29.fa.gz,96.91,1.63,3318488,57877
EHA03651_bin.155.fa.gz,70.67,3.74,2415548,3910
EHA03384_bin.27.fa.gz,93.23,1.89,1451313,3661
EHA00643_bin.25.fa.gz,94.98,0.358,3775585,106576
EHA03781_bin.626.fa.gz,81.32,6.52,3813940,5787
EHA03755_bin.92.fa.gz,68.39,0.01,2199846,3298
EHA00679_bin.17.fa.gz,99.1,1.426,1600964,231555
EHA01432_bin.50.fa.gz,73.07,5.172,6035272,64892
EHA03416_bin.26.fa.gz,99.58,1.16,2148020,86790
EHA03694_bin.489.fa.gz,87.97,0.14,2889203,17497
EHA03651_bin.499.fa.gz,62.26,5.15,3273767,2515
EHA03417_bin.1.fa.gz,99.95,1.08,3177643,23629
EHA03694_bin.240.fa.gz,58.53,0.2,1668770,4129
EHA03449_bin.5.fa.gz,79.21,0.0,1828306,158375
EHA03781_bin.393.fa.gz,92.19,0.02,2371771,48248
EHA03651_bin.14.fa.gz,52.81,2.1,2357731,5169
EHA03434_bin.36.fa.gz,94.71,0.0,2435137,97847
EHA03417_bin.13.fa.gz,89.7,0.53,4320962,62566
EHA03376_bin.5.fa.gz,71.04,1.17,2137713,3306
EHA00654_bin.10.fa.gz,98.06,0.474,6046644,45488
EHA03651_bin.92.fa.gz,99.46,2.84,2590101,14043
EHA03421_bin.4.fa.gz,96.17,0.0,2045837,139209
EHA00659_bin.19.fa.gz,97.23,0.569,4596385,50443
EHA00728_bin.20.fa.gz,88.5,4.008,3507938,6425
EHA03378_bin.5.fa.gz,94.77,0.2,2538078,7971
EHA01443_bin.17.fa.gz,79.77,1.123,1109711,7257
EHA00651_bin.29.fa.gz,93.95,0.805,4172709,87768
EHA01443_bin.57.fa.gz,98.92,0.604,3144247,74380
