genome,secondary_cluster,threshold,cluster_method,comparison_algorithm,primary_cluster
EHA03651_bin.226.fa.gz,15_1,0.020000000000000018,average,fastANI,15
EHA03694_bin.355.fa.gz,15_1,0.020000000000000018,average,fastANI,15
EHA03781_bin.625.fa.gz,15_2,0.020000000000000018,average,fastANI,15
EHA03378_bin.27.fa.gz,16_1,0.020000000000000018,average,fastANI,16
EHA03781_bin.239.fa.gz,16_2,0.020000000000000018,average,fastANI,16
EHA03421_bin.15.fa.gz,17_0,0.020000000000000018,average,fastANI,17
EHA01421_bin.42.fa.gz,18_1,0.020000000000000018,average,fastANI,18
EHA03651_bin.142.fa.gz,18_1,0.020000000000000018,average,fastANI,18
EHA03781_bin.505.fa.gz,18_1,0.020000000000000018,average,fastANI,18
EHA03436_bin.13.fa.gz,19_0,0.020000000000000018,average,fastANI,19
EHA03595_bin.5.fa.gz,20_1,0.020000000000000018,average,fastANI,20
EHA03781_bin.200.fa.gz,20_2,0.020000000000000018,average,fastANI,20
EHA03651_bin.418.fa.gz,21_1,0.020000000000000018,average,fastANI,21
EHA03694_bin.522.fa.gz,21_1,0.020000000000000018,average,fastANI,21
EHA03781_bin.132.fa.gz,21_2,0.020000000000000018,average,fastANI,21
EHA01404_bin.6.fa.gz,22_1,0.020000000000000018,average,fastANI,22
EHA03651_bin.225.fa.gz,22_1,0.020000000000000018,average,fastANI,22
EHA03694_bin.354.fa.gz,22_2,0.020000000000000018,average,fastANI,22
EHA03755_bin.207.fa.gz,22_2,0.020000000000000018,average,fastANI,22
EHA03437_bin.24.fa.gz,22_3,0.020000000000000018,average,fastANI,22
EHA00728_bin.17.fa.gz,23_1,0.020000000000000018,average,fastANI,23
EHA02919_bin.190.fa.gz,23_1,0.020000000000000018,average,fastANI,23
EHA01432_bin.61.fa.gz,24_0,0.020000000000000018,average,fastANI,24
EHA03694_bin.64.fa.gz,25_0,0.020000000000000018,average,fastANI,25
EHA03447_bin.15.fa.gz,26_1,0.020000000000000018,average,fastANI,26
EHA03694_bin.287.fa.gz,26_2,0.020000000000000018,average,fastANI,26
EHA00726_bin.6.fa.gz,26_3,0.020000000000000018,average,fastANI,26
EHA00643_bin.29.fa.gz,27_0,0.020000000000000018,average,fastANI,27
EHA01404_bin.16.fa.gz,28_1,0.020000000000000018,average,fastANI,28
EHA03781_bin.532.fa.gz,28_2,0.020000000000000018,average,fastANI,28
EHA00647_bin.6.fa.gz,29_1,0.020000000000000018,average,fastANI,29
EHA03373_bin.31.fa.gz,29_2,0.020000000000000018,average,fastANI,29
EHA00724_bin.3.fa.gz,30_1,0.020000000000000018,average,fastANI,30
EHA03651_bin.436.fa.gz,30_2,0.020000000000000018,average,fastANI,30
EHA03443_bin.39.fa.gz,30_3,0.020000000000000018,average,fastANI,30
EHA03431_bin.59.fa.gz,30_4,0.020000000000000018,average,fastANI,30
EHA03585_bin.8.fa.gz,30_5,0.020000000000000018,average,fastANI,30
EHA02919_bin.125.fa.gz,31_1,0.020000000000000018,average,fastANI,31
EHA03781_bin.131.fa.gz,31_2,0.020000000000000018,average,fastANI,31
EHA01432_bin.117.fa.gz,32_0,0.020000000000000018,average,fastANI,32
EHA01404_bin.88.fa.gz,33_1,0.020000000000000018,average,fastANI,33
EHA03694_bin.352.fa.gz,33_2,0.020000000000000018,average,fastANI,33
EHA00687_bin.5.fa.gz,33_3,0.020000000000000018,average,fastANI,33
EHA03397_bin.13.fa.gz,33_4,0.020000000000000018,average,fastANI,33
EHA03781_bin.773.fa.gz,33_5,0.020000000000000018,average,fastANI,33
EHA00665_bin.7.fa.gz,34_0,0.020000000000000018,average,fastANI,34
EHA00564_bin.1.fa.gz,35_1,0.020000000000000018,average,fastANI,35
EHA02915_bin.85.fa.gz,35_1,0.020000000000000018,average,fastANI,35
EHA01421_bin.53.fa.gz,36_1,0.020000000000000018,average,fastANI,36
EHA03694_bin.362.fa.gz,36_1,0.020000000000000018,average,fastANI,36
EHA01409_bin.4.fa.gz,37_1,0.020000000000000018,average,fastANI,37
EHA03384_bin.22.fa.gz,37_2,0.020000000000000018,average,fastANI,37
EHA00645_bin.14.fa.gz,38_1,0.020000000000000018,average,fastANI,38
EHA00679_bin.17.fa.gz,38_1,0.020000000000000018,average,fastANI,38
EHA00717_bin.5.fa.gz,38_1,0.020000000000000018,average,fastANI,38
EHA00724_bin.10.fa.gz,38_1,0.020000000000000018,average,fastANI,38
EHA03447_bin.18.fa.gz,38_1,0.020000000000000018,average,fastANI,38
EHA03586_bin.4.fa.gz,38_1,0.020000000000000018,average,fastANI,38
EHA00563_bin.36.fa.gz,39_0,0.020000000000000018,average,fastANI,39
EHA00662_bin.10.fa.gz,40_1,0.020000000000000018,average,fastANI,40
EHA00727_bin.4.fa.gz,40_1,0.020000000000000018,average,fastANI,40
EHA02919_bin.39.fa.gz,40_1,0.020000000000000018,average,fastANI,40
EHA03694_bin.252.fa.gz,40_1,0.020000000000000018,average,fastANI,40
EHA01426_bin.66.fa.gz,40_2,0.020000000000000018,average,fastANI,40
EHA01447_bin.7.fa.gz,41_1,0.020000000000000018,average,fastANI,41
EHA03379_bin.10.fa.gz,41_1,0.020000000000000018,average,fastANI,41
EHA00722_bin.19.fa.gz,41_2,0.020000000000000018,average,fastANI,41
EHA01404_bin.64.fa.gz,41_2,0.020000000000000018,average,fastANI,41
EHA00722_bin.4.fa.gz,42_1,0.020000000000000018,average,fastANI,42
EHA03437_bin.8.fa.gz,42_1,0.020000000000000018,average,fastANI,42
EHA03651_bin.481.fa.gz,42_1,0.020000000000000018,average,fastANI,42
EHA00563_bin.23.fa.gz,42_2,0.020000000000000018,average,fastANI,42
EHA00565_bin.33.fa.gz,43_1,0.020000000000000018,average,fastANI,43
EHA01409_bin.45.fa.gz,43_1,0.020000000000000018,average,fastANI,43
EHA02915_bin.97.fa.gz,43_1,0.020000000000000018,average,fastANI,43
EHA03694_bin.654.fa.gz,43_2,0.020000000000000018,average,fastANI,43
EHA03755_bin.377.fa.gz,43_2,0.020000000000000018,average,fastANI,43
EHA03584_bin.13.fa.gz,43_3,0.020000000000000018,average,fastANI,43
EHA03452_bin.1.fa.gz,43_4,0.020000000000000018,average,fastANI,43
EHA03383_bin.6.fa.gz,44_0,0.020000000000000018,average,fastANI,44
EHA03435_bin.31.fa.gz,45_0,0.020000000000000018,average,fastANI,45
EHA03781_bin.402.fa.gz,46_0,0.020000000000000018,average,fastANI,46
EHA00565_bin.20.fa.gz,47_1,0.020000000000000018,average,fastANI,47
EHA03781_bin.613.fa.gz,47_2,0.020000000000000018,average,fastANI,47
EHA01439_bin.27.fa.gz,47_3,0.020000000000000018,average,fastANI,47
EHA03694_bin.247.fa.gz,47_3,0.020000000000000018,average,fastANI,47
EHA00658_bin.4.fa.gz,47_4,0.020000000000000018,average,fastANI,47
EHA00722_bin.35.fa.gz,47_4,0.020000000000000018,average,fastANI,47
EHA02869_bin.33.fa.gz,47_4,0.020000000000000018,average,fastANI,47
EHA00663_bin.2.fa.gz,48_1,0.020000000000000018,average,fastANI,48
EHA00722_bin.21.fa.gz,48_1,0.020000000000000018,average,fastANI,48
EHA01415_bin.106.fa.gz,48_1,0.020000000000000018,average,fastANI,48
EHA03389_bin.10.fa.gz,48_1,0.020000000000000018,average,fastANI,48
EHA03395_bin.11.fa.gz,49_0,0.020000000000000018,average,fastANI,49
EHA00656_bin.6.fa.gz,50_1,0.020000000000000018,average,fastANI,50
EHA03651_bin.121.fa.gz,50_1,0.020000000000000018,average,fastANI,50
EHA03694_bin.460.fa.gz,50_1,0.020000000000000018,average,fastANI,50
EHA00644_bin.22.fa.gz,51_1,0.020000000000000018,average,fastANI,51
EHA00722_bin.8.fa.gz,51_1,0.020000000000000018,average,fastANI,51
EHA03375_bin.18.fa.gz,51_1,0.020000000000000018,average,fastANI,51
EHA03694_bin.139.fa.gz,51_1,0.020000000000000018,average,fastANI,51
EHA03755_bin.382.fa.gz,51_1,0.020000000000000018,average,fastANI,51
EHA01404_bin.50.fa.gz,52_1,0.020000000000000018,average,fastANI,52
EHA01409_bin.60.fa.gz,52_1,0.020000000000000018,average,fastANI,52
EHA03651_bin.112.fa.gz,52_1,0.020000000000000018,average,fastANI,52
EHA01826_bin.20.fa.gz,52_2,0.020000000000000018,average,fastANI,52
EHA03452_bin.10.fa.gz,52_3,0.020000000000000018,average,fastANI,52
EHA00667_bin.18.fa.gz,53_1,0.020000000000000018,average,fastANI,53
EHA00719_bin.19.fa.gz,53_1,0.020000000000000018,average,fastANI,53
EHA00653_bin.6.fa.gz,54_0,0.020000000000000018,average,fastANI,54
EHA01409_bin.88.fa.gz,55_0,0.020000000000000018,average,fastANI,55
EHA03781_bin.198.fa.gz,56_0,0.020000000000000018,average,fastANI,56
EHA00719_bin.6.fa.gz,57_1,0.020000000000000018,average,fastANI,57
EHA03781_bin.38.fa.gz,57_1,0.020000000000000018,average,fastANI,57
EHA00667_bin.11.fa.gz,57_2,0.020000000000000018,average,fastANI,57
EHA00648_bin.9.fa.gz,58_1,0.020000000000000018,average,fastANI,58
EHA00675_bin.11.fa.gz,58_2,0.020000000000000018,average,fastANI,58
EHA03395_bin.33.fa.gz,59_0,0.020000000000000018,average,fastANI,59
EHA00658_bin.29.fa.gz,60_1,0.020000000000000018,average,fastANI,60
EHA03651_bin.204.fa.gz,60_2,0.020000000000000018,average,fastANI,60
EHA00670_bin.17.fa.gz,61_0,0.020000000000000018,average,fastANI,61
EHA03432_bin.12.fa.gz,62_0,0.020000000000000018,average,fastANI,62
EHA03439_bin.16.fa.gz,63_0,0.020000000000000018,average,fastANI,63
EHA00719_bin.14.fa.gz,64_1,0.020000000000000018,average,fastANI,64
EHA01415_bin.56.fa.gz,64_1,0.020000000000000018,average,fastANI,64
EHA02919_bin.160.fa.gz,64_1,0.020000000000000018,average,fastANI,64
EHA03445_bin.28.fa.gz,65_0,0.020000000000000018,average,fastANI,65
EHA03584_bin.19.fa.gz,66_0,0.020000000000000018,average,fastANI,66
EHA03395_bin.10.fa.gz,67_1,0.020000000000000018,average,fastANI,67
EHA03694_bin.535.fa.gz,67_2,0.020000000000000018,average,fastANI,67
EHA00660_bin.31.fa.gz,68_1,0.020000000000000018,average,fastANI,68
EHA02869_bin.118.fa.gz,68_1,0.020000000000000018,average,fastANI,68
EHA01415_bin.76.fa.gz,68_2,0.020000000000000018,average,fastANI,68
EHA03412_bin.7.fa.gz,68_3,0.020000000000000018,average,fastANI,68
EHA00666_bin.14.fa.gz,69_1,0.020000000000000018,average,fastANI,69
EHA00679_bin.10.fa.gz,69_1,0.020000000000000018,average,fastANI,69
EHA00717_bin.17.fa.gz,69_1,0.020000000000000018,average,fastANI,69
EHA03651_bin.227.fa.gz,69_1,0.020000000000000018,average,fastANI,69
EHA03781_bin.617.fa.gz,69_1,0.020000000000000018,average,fastANI,69
EHA03588_bin.22.fa.gz,70_1,0.020000000000000018,average,fastANI,70
EHA03755_bin.160.fa.gz,70_1,0.020000000000000018,average,fastANI,70
EHA01443_bin.66.fa.gz,70_2,0.020000000000000018,average,fastANI,70
EHA00562_bin.9.fa.gz,71_1,0.020000000000000018,average,fastANI,71
EHA00680_bin.2.fa.gz,71_1,0.020000000000000018,average,fastANI,71
EHA03781_bin.247.fa.gz,71_1,0.020000000000000018,average,fastANI,71
EHA03694_bin.612.fa.gz,72_1,0.020000000000000018,average,fastANI,72
EHA03781_bin.112.fa.gz,72_2,0.020000000000000018,average,fastANI,72
EHA01426_bin.53.fa.gz,72_3,0.020000000000000018,average,fastANI,72
EHA02919_bin.77.fa.gz,72_4,0.020000000000000018,average,fastANI,72
EHA02869_bin.62.fa.gz,72_5,0.020000000000000018,average,fastANI,72
EHA03584_bin.31.fa.gz,72_6,0.020000000000000018,average,fastANI,72
EHA03373_bin.37.fa.gz,72_7,0.020000000000000018,average,fastANI,72
EHA00646_bin.22.fa.gz,73_1,0.020000000000000018,average,fastANI,73
EHA00728_bin.5.fa.gz,73_2,0.020000000000000018,average,fastANI,73
EHA00726_bin.34.fa.gz,73_3,0.020000000000000018,average,fastANI,73
EHA03781_bin.722.fa.gz,73_3,0.020000000000000018,average,fastANI,73
EHA00565_bin.11.fa.gz,73_4,0.020000000000000018,average,fastANI,73
EHA02915_bin.93.fa.gz,73_4,0.020000000000000018,average,fastANI,73
EHA03383_bin.9.fa.gz,73_5,0.020000000000000018,average,fastANI,73
EHA03442_bin.21.fa.gz,73_5,0.020000000000000018,average,fastANI,73
EHA03651_bin.35.fa.gz,73_5,0.020000000000000018,average,fastANI,73
EHA03444_bin.2.fa.gz,73_6,0.020000000000000018,average,fastANI,73
EHA03373_bin.46.fa.gz,73_7,0.020000000000000018,average,fastANI,73
EHA03449_bin.4.fa.gz,73_8,0.020000000000000018,average,fastANI,73
EHA03433_bin.6.fa.gz,73_9,0.020000000000000018,average,fastANI,73
EHA01415_bin.45.fa.gz,73_10,0.020000000000000018,average,fastANI,73
EHA03586_bin.6.fa.gz,74_1,0.020000000000000018,average,fastANI,74
EHA03781_bin.165.fa.gz,74_1,0.020000000000000018,average,fastANI,74
EHA03651_bin.428.fa.gz,75_1,0.020000000000000018,average,fastANI,75
EHA03755_bin.161.fa.gz,75_2,0.020000000000000018,average,fastANI,75
EHA00724_bin.6.fa.gz,76_1,0.020000000000000018,average,fastANI,76
EHA02919_bin.127.fa.gz,76_1,0.020000000000000018,average,fastANI,76
EHA03599_bin.45.fa.gz,76_2,0.020000000000000018,average,fastANI,76
EHA00719_bin.4.fa.gz,77_1,0.020000000000000018,average,fastANI,77
EHA03430_bin.3.fa.gz,77_1,0.020000000000000018,average,fastANI,77
EHA03586_bin.21.fa.gz,77_1,0.020000000000000018,average,fastANI,77
EHA03431_bin.47.fa.gz,77_2,0.020000000000000018,average,fastANI,77
EHA03781_bin.261.fa.gz,77_3,0.020000000000000018,average,fastANI,77
EHA01421_bin.92.fa.gz,77_4,0.020000000000000018,average,fastANI,77
EHA03651_bin.360.fa.gz,77_4,0.020000000000000018,average,fastANI,77
EHA03440_bin.29.fa.gz,77_5,0.020000000000000018,average,fastANI,77
EHA00651_bin.31.fa.gz,77_6,0.020000000000000018,average,fastANI,77
EHA03587_bin.39.fa.gz,77_7,0.020000000000000018,average,fastANI,77
EHA00717_bin.27.fa.gz,78_0,0.020000000000000018,average,fastANI,78
EHA03694_bin.636.fa.gz,79_0,0.020000000000000018,average,fastANI,79
EHA03781_bin.577.fa.gz,80_0,0.020000000000000018,average,fastANI,80
EHA03441_bin.14.fa.gz,81_1,0.020000000000000018,average,fastANI,81
EHA03694_bin.653.fa.gz,81_2,0.020000000000000018,average,fastANI,81
EHA00565_bin.3.fa.gz,81_3,0.020000000000000018,average,fastANI,81
EHA03412_bin.14.fa.gz,82_0,0.020000000000000018,average,fastANI,82
EHA03694_bin.626.fa.gz,83_0,0.020000000000000018,average,fastANI,83
EHA03597_bin.18.fa.gz,84_1,0.020000000000000018,average,fastANI,84
EHA03781_bin.557.fa.gz,84_2,0.020000000000000018,average,fastANI,84
EHA03452_bin.11.fa.gz,85_0,0.020000000000000018,average,fastANI,85
EHA03651_bin.350.fa.gz,86_0,0.020000000000000018,average,fastANI,86
EHA00563_bin.34.fa.gz,87_1,0.020000000000000018,average,fastANI,87
EHA03599_bin.28.fa.gz,87_1,0.020000000000000018,average,fastANI,87
EHA01409_bin.18.fa.gz,87_2,0.020000000000000018,average,fastANI,87
EHA02919_bin.96.fa.gz,87_3,0.020000000000000018,average,fastANI,87
EHA03449_bin.5.fa.gz,88_0,0.020000000000000018,average,fastANI,88
EHA03376_bin.7.fa.gz,89_0,0.020000000000000018,average,fastANI,89
EHA03432_bin.15.fa.gz,90_0,0.020000000000000018,average,fastANI,90
EHA03378_bin.18.fa.gz,91_1,0.020000000000000018,average,fastANI,91
EHA03755_bin.244.fa.gz,91_1,0.020000000000000018,average,fastANI,91
EHA03694_bin.212.fa.gz,92_0,0.020000000000000018,average,fastANI,92
EHA03416_bin.24.fa.gz,93_1,0.020000000000000018,average,fastANI,93
EHA03422_bin.5.fa.gz,93_1,0.020000000000000018,average,fastANI,93
EHA01432_bin.8.fa.gz,93_2,0.020000000000000018,average,fastANI,93
EHA03406_bin.4.fa.gz,93_2,0.020000000000000018,average,fastANI,93
EHA03415_bin.24.fa.gz,93_3,0.020000000000000018,average,fastANI,93
EHA03781_bin.477.fa.gz,93_4,0.020000000000000018,average,fastANI,93
EHA03694_bin.597.fa.gz,94_0,0.020000000000000018,average,fastANI,94
EHA00651_bin.39.fa.gz,95_1,0.020000000000000018,average,fastANI,95
EHA03651_bin.449.fa.gz,95_1,0.020000000000000018,average,fastANI,95
EHA03425_bin.5.fa.gz,96_1,0.020000000000000018,average,fastANI,96
EHA03651_bin.100.fa.gz,96_1,0.020000000000000018,average,fastANI,96
EHA03651_bin.160.fa.gz,97_1,0.020000000000000018,average,fastANI,97
EHA03781_bin.68.fa.gz,97_1,0.020000000000000018,average,fastANI,97
EHA03694_bin.587.fa.gz,97_2,0.020000000000000018,average,fastANI,97
EHA03373_bin.14.fa.gz,98_1,0.020000000000000018,average,fastANI,98
EHA03651_bin.398.fa.gz,98_2,0.020000000000000018,average,fastANI,98
EHA00651_bin.16.fa.gz,98_3,0.020000000000000018,average,fastANI,98
EHA03694_bin.434.fa.gz,98_4,0.020000000000000018,average,fastANI,98
EHA03586_bin.18.fa.gz,99_1,0.020000000000000018,average,fastANI,99
EHA03781_bin.211.fa.gz,99_2,0.020000000000000018,average,fastANI,99
EHA03440_bin.2.fa.gz,99_3,0.020000000000000018,average,fastANI,99
EHA00662_bin.7.fa.gz,100_1,0.020000000000000018,average,fastANI,100
EHA03651_bin.7.fa.gz,100_1,0.020000000000000018,average,fastANI,100
EHA03781_bin.81.fa.gz,100_1,0.020000000000000018,average,fastANI,100
EHA03390_bin.11.fa.gz,100_2,0.020000000000000018,average,fastANI,100
EHA03416_bin.5.fa.gz,101_0,0.020000000000000018,average,fastANI,101
EHA03781_bin.737.fa.gz,102_0,0.020000000000000018,average,fastANI,102
EHA00643_bin.25.fa.gz,103_1,0.020000000000000018,average,fastANI,103
EHA03444_bin.4.fa.gz,103_2,0.020000000000000018,average,fastANI,103
EHA00726_bin.33.fa.gz,104_1,0.020000000000000018,average,fastANI,104
EHA03597_bin.19.fa.gz,104_1,0.020000000000000018,average,fastANI,104
EHA03781_bin.470.fa.gz,104_1,0.020000000000000018,average,fastANI,104
EHA03651_bin.45.fa.gz,104_2,0.020000000000000018,average,fastANI,104
EHA00661_bin.20.fa.gz,105_1,0.020000000000000018,average,fastANI,105
EHA00804_bin.47.fa.gz,105_1,0.020000000000000018,average,fastANI,105
EHA03432_bin.14.fa.gz,105_1,0.020000000000000018,average,fastANI,105
EHA00660_bin.33.fa.gz,106_1,0.020000000000000018,average,fastANI,106
EHA00689_bin.12.fa.gz,106_1,0.020000000000000018,average,fastANI,106
EHA02869_bin.70.fa.gz,106_1,0.020000000000000018,average,fastANI,106
EHA03388_bin.12.fa.gz,106_1,0.020000000000000018,average,fastANI,106
EHA03395_bin.32.fa.gz,106_1,0.020000000000000018,average,fastANI,106
EHA03410_bin.14.fa.gz,106_1,0.020000000000000018,average,fastANI,106
EHA03392_bin.7.fa.gz,106_2,0.020000000000000018,average,fastANI,106
EHA03781_bin.34.fa.gz,106_3,0.020000000000000018,average,fastANI,106
EHA01409_bin.78.fa.gz,107_1,0.020000000000000018,average,fastANI,107
EHA02919_bin.23.fa.gz,107_1,0.020000000000000018,average,fastANI,107
EHA03651_bin.33.fa.gz,107_1,0.020000000000000018,average,fastANI,107
EHA03396_bin.25.fa.gz,107_2,0.020000000000000018,average,fastANI,107
EHA03755_bin.252.fa.gz,107_3,0.020000000000000018,average,fastANI,107
EHA00667_bin.16.fa.gz,108_1,0.020000000000000018,average,fastANI,108
EHA00719_bin.5.fa.gz,108_1,0.020000000000000018,average,fastANI,108
EHA03586_bin.27.fa.gz,108_1,0.020000000000000018,average,fastANI,108
EHA03651_bin.9.fa.gz,108_1,0.020000000000000018,average,fastANI,108
EHA03781_bin.54.fa.gz,108_1,0.020000000000000018,average,fastANI,108
EHA01436_bin.65.fa.gz,108_2,0.020000000000000018,average,fastANI,108
EHA03755_bin.69.fa.gz,108_2,0.020000000000000018,average,fastANI,108
EHA03595_bin.6.fa.gz,108_3,0.020000000000000018,average,fastANI,108
EHA03755_bin.82.fa.gz,109_0,0.020000000000000018,average,fastANI,109
EHA01447_bin.75.fa.gz,110_1,0.020000000000000018,average,fastANI,110
EHA03694_bin.415.fa.gz,110_1,0.020000000000000018,average,fastANI,110
EHA03755_bin.38.fa.gz,110_1,0.020000000000000018,average,fastANI,110
EHA03694_bin.75.fa.gz,111_0,0.020000000000000018,average,fastANI,111
EHA00659_bin.31.fa.gz,112_1,0.020000000000000018,average,fastANI,112
EHA02869_bin.125.fa.gz,112_1,0.020000000000000018,average,fastANI,112
EHA01415_bin.81.fa.gz,112_2,0.020000000000000018,average,fastANI,112
EHA01432_bin.136.fa.gz,112_2,0.020000000000000018,average,fastANI,112
EHA03378_bin.6.fa.gz,112_2,0.020000000000000018,average,fastANI,112
EHA03414_bin.16.fa.gz,112_2,0.020000000000000018,average,fastANI,112
EHA03651_bin.509.fa.gz,113_1,0.020000000000000018,average,fastANI,113
EHA03781_bin.407.fa.gz,113_1,0.020000000000000018,average,fastANI,113
EHA03694_bin.421.fa.gz,114_0,0.020000000000000018,average,fastANI,114
EHA03448_bin.5.fa.gz,115_1,0.020000000000000018,average,fastANI,115
EHA03781_bin.206.fa.gz,115_1,0.020000000000000018,average,fastANI,115
EHA00660_bin.24.fa.gz,115_2,0.020000000000000018,average,fastANI,115
EHA02869_bin.108.fa.gz,115_2,0.020000000000000018,average,fastANI,115
EHA01404_bin.42.fa.gz,115_3,0.020000000000000018,average,fastANI,115
EHA03416_bin.37.fa.gz,115_4,0.020000000000000018,average,fastANI,115
EHA03694_bin.56.fa.gz,115_4,0.020000000000000018,average,fastANI,115
EHA01443_bin.70.fa.gz,115_5,0.020000000000000018,average,fastANI,115
EHA01415_bin.42.fa.gz,115_6,0.020000000000000018,average,fastANI,115
EHA01426_bin.77.fa.gz,115_7,0.020000000000000018,average,fastANI,115
EHA00658_bin.7.fa.gz,116_1,0.020000000000000018,average,fastANI,116
EHA03781_bin.5.fa.gz,116_1,0.020000000000000018,average,fastANI,116
EHA01443_bin.90.fa.gz,116_2,0.020000000000000018,average,fastANI,116
EHA03584_bin.4.fa.gz,116_2,0.020000000000000018,average,fastANI,116
EHA03755_bin.88.fa.gz,116_2,0.020000000000000018,average,fastANI,116
EHA00672_bin.11.fa.gz,117_1,0.020000000000000018,average,fastANI,117
EHA03651_bin.25.fa.gz,117_1,0.020000000000000018,average,fastANI,117
EHA03445_bin.54.fa.gz,117_2,0.020000000000000018,average,fastANI,117
EHA01439_bin.15.fa.gz,118_1,0.020000000000000018,average,fastANI,118
EHA03398_bin.9.fa.gz,118_1,0.020000000000000018,average,fastANI,118
EHA03415_bin.1.fa.gz,118_1,0.020000000000000018,average,fastANI,118
EHA01426_bin.4.fa.gz,118_2,0.020000000000000018,average,fastANI,118
EHA03651_bin.42.fa.gz,118_2,0.020000000000000018,average,fastANI,118
EHA03781_bin.122.fa.gz,118_3,0.020000000000000018,average,fastANI,118
EHA03694_bin.2.fa.gz,119_0,0.020000000000000018,average,fastANI,119
EHA00659_bin.13.fa.gz,120_1,0.020000000000000018,average,fastANI,120
EHA03375_bin.16.fa.gz,120_1,0.020000000000000018,average,fastANI,120
EHA00804_bin.21.fa.gz,120_2,0.020000000000000018,average,fastANI,120
EHA03424_bin.6.fa.gz,120_2,0.020000000000000018,average,fastANI,120
EHA03781_bin.592.fa.gz,120_3,0.020000000000000018,average,fastANI,120
EHA01421_bin.32.fa.gz,120_4,0.020000000000000018,average,fastANI,120
EHA03400_bin.26.fa.gz,120_5,0.020000000000000018,average,fastANI,120
EHA00726_bin.27.fa.gz,121_1,0.020000000000000018,average,fastANI,121
EHA03440_bin.35.fa.gz,121_2,0.020000000000000018,average,fastANI,121
EHA00659_bin.18.fa.gz,122_1,0.020000000000000018,average,fastANI,122
EHA00669_bin.8.fa.gz,122_1,0.020000000000000018,average,fastANI,122
EHA00655_bin.2.fa.gz,122_2,0.020000000000000018,average,fastANI,122
EHA01421_bin.66.fa.gz,122_3,0.020000000000000018,average,fastANI,122
EHA03651_bin.309.fa.gz,122_4,0.020000000000000018,average,fastANI,122
EHA00653_bin.2.fa.gz,122_5,0.020000000000000018,average,fastANI,122
EHA00642_bin.21.fa.gz,122_6,0.020000000000000018,average,fastANI,122
EHA01426_bin.21.fa.gz,122_6,0.020000000000000018,average,fastANI,122
EHA00654_bin.16.fa.gz,122_7,0.020000000000000018,average,fastANI,122
EHA00668_bin.7.fa.gz,122_8,0.020000000000000018,average,fastANI,122
EHA03424_bin.10.fa.gz,122_9,0.020000000000000018,average,fastANI,122
EHA03755_bin.30.fa.gz,122_9,0.020000000000000018,average,fastANI,122
EHA03416_bin.43.fa.gz,122_10,0.020000000000000018,average,fastANI,122
EHA03411_bin.17.fa.gz,122_11,0.020000000000000018,average,fastANI,122
EHA01447_bin.35.fa.gz,122_12,0.020000000000000018,average,fastANI,122
EHA03380_bin.5.fa.gz,122_13,0.020000000000000018,average,fastANI,122
EHA03396_bin.24.fa.gz,122_14,0.020000000000000018,average,fastANI,122
EHA03400_bin.20.fa.gz,122_15,0.020000000000000018,average,fastANI,122
EHA03390_bin.2.fa.gz,122_16,0.020000000000000018,average,fastANI,122
EHA03378_bin.16.fa.gz,122_17,0.020000000000000018,average,fastANI,122
EHA03409_bin.24.fa.gz,122_18,0.020000000000000018,average,fastANI,122
EHA01824_bin.12.fa.gz,122_19,0.020000000000000018,average,fastANI,122
